category,equipment_required,muscle,name
Strength,Barbell,Quadriceps,Barbell Thruster
Strength,Cable,Lats,Straight-Arm Pulldown
Strength,Dumbbell,Middle Back,Bent Over Two-Dumbbell Row
Strength,Barbell,Hamstrings,Stiff-Legged Barbell Deadlift
Strength,Body Only,Glutes,Glute Kickback
Strength,Body Only,Abdominals,Butt-Ups
Strength,Machine,Chest,Smith Machine Bench Press
Strength,Dumbbell,Middle Back,Middle Back Shrug
Strength,Dumbbell,Shoulders,Iron Cross
Strength,Dumbbell,Biceps,Lying Supine Dumbbell Curl
Strength,Barbell,Traps,Barbell Shrug Behind The Back
Stretching,Body Only,Lower Back,Superman
Strength,Bands,Chest,Cross Over - With Bands
Strength,Dumbbell,Biceps,Two-Arm Dumbbell Preacher Curl
Strength,Body Only,Glutes,Flutter Kicks
Strength,Barbell,Chest,Front Raise And Pullover
Strength,Cable,Lats,Elevated Cable Rows
Strength,Dumbbell,Shoulders,Dumbbell Lying Rear Lateral Raise
Strength,Exercise Ball,Lower Back,Weighted Ball Hyperextension
Strength,Dumbbell,Triceps,Standing One-Arm Dumbbell Triceps Extension
Cardio,Machine,Quadriceps,"Bicycling, Stationary"
Cardio,Machine,Quadriceps,Jogging-Treadmill
Powerlifting,Barbell,Triceps,Floor Press
Powerlifting,Barbell,Triceps,Bench Press with Chains
Plyometrics,Medicine Ball,Chest,Chest Push (multiple response)
Plyometrics,Other,Chest,Incline Push-Up Depth Jump
Strength,Bands,Shoulders,Internal Rotation with Band
Strength,Barbell,Shoulders,Straight Raises on Incline Bench
Strength,Cable,Lats,Kneeling Single-Arm High Pulley Row
Strength,Body Only,Triceps,Cobra Triceps Extension
Strength,Body Only,Quadriceps,Bodyweight Reverse Lunge
Strength,Barbell,Middle Back,Yates Row Reverse Grip
Strength,Dumbbell,Chest,Bent-Arm Dumbbell Pullover
Strength,Dumbbell,Shoulders,Bent Over Dumbbell Rear Delt Raise With Head On Bench
Strength,Dumbbell,Triceps,Standing One-Arm Dumbbell Triceps Extension
Cardio,Machine,Quadriceps,"Bicycling, Stationary"
Cardio,Machine,Quadriceps,Jogging-Treadmill
Powerlifting,Barbell,Triceps,Floor Press
Powerlifting,Barbell,Triceps,Bench Press with Chains
Plyometrics,Medicine Ball,Chest,Chest Push (multiple response)
Plyometrics,Other,Chest,Incline Push-Up Depth Jump
Strength,Bands,Shoulders,Internal Rotation with Band
Strength,Barbell,Shoulders,Straight Raises on Incline Bench
Strength,Cable,Lats,Kneeling Single-Arm High Pulley Row
Strength,Body Only,Triceps,Cobra Triceps Extension
Strength,Body Only,Quadriceps,Bodyweight Reverse Lunge
Strength,Barbell,Middle Back,Yates Row Reverse Grip
Strength,Dumbbell,Chest,Bent-Arm Dumbbell Pullover
Strength,Dumbbell,Shoulders,Bent Over Dumbbell Rear Delt Raise With Head On Bench
Strength,Cable,Biceps,Lying Cable Curl
